id,name,city,state,verified_count,verified_images_pipe
cmptypkvq000504js12kgxli8,Calangute Beach,Calangute,Goa,5,https://upload.wikimedia.org/wikipedia/commons/8/81/Sunset_at_Calangute.jpg|https://upload.wikimedia.org/wikipedia/commons/a/ae/Boats_on_the_Calangute_beach%2C_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/1/18/Calangute-Tinto.jpg|https://upload.wikimedia.org/wikipedia/commons/a/a8/Baga_Beach%2C_Calangute%2C_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/5/53/Baga_Beach%2C_Goa.jpg
cmpy1xaw9002504l5luugkmqe,Agonda Beach,Canacona,Goa,4,https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/d/da/Goa_Palolem_beach_sunset.jpg|https://upload.wikimedia.org/wikipedia/commons/3/3f/Palolem_Beach%2C_south_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg
cmpy1wrv9002104l5rypgho0s,Cotigao Wildlife Sanctuary,Canacona,Goa,3,https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/3/3f/Palolem_Beach%2C_south_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg
cmptyplkp000804jsj65r549s,Palolem Beach,Canacona,Goa,5,https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/d/da/Goa_Palolem_beach_sunset.jpg|https://upload.wikimedia.org/wikipedia/commons/3/3f/Palolem_Beach%2C_south_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/d/da/Goa_Palolem_beach_sunset.jpg
cmpy1xb4x002604l54mkteyjt,Candolim Beach,Candolim,Goa,2,https://upload.wikimedia.org/wikipedia/commons/a/a8/Baga_Beach%2C_Calangute%2C_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/6/6b/Aguada_Fort_-_Sinquerim_Beach_-_Goa_-_0001.jpg
cmptypkf3000304jsdypu0rd0,Dudhsagar Falls,Collem,Goa,2,https://upload.wikimedia.org/wikipedia/commons/f/f7/Doodhsagar_Waterfalls.jpg|https://upload.wikimedia.org/wikipedia/commons/f/f7/Doodhsagar_Waterfalls.jpg
cmpy1wscm002304l5dq8hv7r8,Colva Beach,Colva,Goa,2,https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/d/da/Goa_Palolem_beach_sunset.jpg
cmpy1ws3y002204l5kbrk6xlo,Divar Island,Divar,Goa,1,https://upload.wikimedia.org/wikipedia/commons/9/9a/Jose_pacheco_-_Divar.jpg
cmpy1wq1p001w04l5w2zze9b5,Bhagwan Mahavir Wildlife Sanctuary,Mollem,Goa,0,
cmpy1xbdn002704l53f2hfp1b,Morjim Beach,Morjim,Goa,2,https://upload.wikimedia.org/wikipedia/commons/c/cf/Anjuna_Beach%2C_Goa%2C_India%2C_Legendary_Curlies_beach_shack.jpg|https://upload.wikimedia.org/wikipedia/commons/a/a8/Baga_Beach%2C_Calangute%2C_Goa.jpg
cmptypjpp000004jsgee6anr8,Basilica of Bom Jesus,Old Goa,Goa,3,https://upload.wikimedia.org/wikipedia/commons/9/9e/Front_Elevation_of_Basilica_of_Bom_Jesus.jpg|https://upload.wikimedia.org/wikipedia/commons/f/f3/Basilica_of_Bom_Jesus_and_vehicles_parked_infront.jpg|https://upload.wikimedia.org/wikipedia/commons/3/38/Basilica_of_Bom_Jesus_inside_courtyard.jpg
cmptypjyb000104jsrt02sycp,Se Cathedral,Old Goa,Goa,3,https://upload.wikimedia.org/wikipedia/commons/1/14/Perspective_of_Se_Cathedral.jpg|https://upload.wikimedia.org/wikipedia/commons/d/d8/Closeup_of_Se_Cathedral_from_Rua_Direita_%2802%29.jpg|https://upload.wikimedia.org/wikipedia/commons/0/0e/Bell_Tower_on_Se_Cathedral.jpg
cmpy1xcyl002b04l5ehsne0ay,Butterfly Beach,Palolem,Goa,5,https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/d/da/Goa_Palolem_beach_sunset.jpg|https://upload.wikimedia.org/wikipedia/commons/3/3f/Palolem_Beach%2C_south_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/d/da/Goa_Palolem_beach_sunset.jpg
cmpy1y8yu002d04l530y7g05s,Dona Paula,Panaji,Goa,3,https://upload.wikimedia.org/wikipedia/commons/8/8c/Dona_Paula%2C_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/9/93/Dona_Paula_Goa.jpg|https://upload.wikimedia.org/wikipedia/commons/d/db/Fishing_Boats_anchored_at_Dona_Paula_%2C_Goa.jpg
cmpy1wpt1001v04l5ku129twm,Fontainhas Latin Quarter,Panaji,Goa,3,https://upload.wikimedia.org/wikipedia/commons/0/0c/Fontainhas_-_Wishing_Well_%2856337569%29.jpg|https://upload.wikimedia.org/wikipedia/commons/e/e4/Fontainhas_-_somewhere_in_between.jpg|https://upload.wikimedia.org/wikipedia/commons/d/db/Road_along_Vasco-da-gama_residence_in_Fontainhas%2C_Panaji.jpg
cmptyplt1000904jst8e7m8kv,Shri Mangueshi Temple,Ponda,Goa,5,https://upload.wikimedia.org/wikipedia/commons/7/7d/Shri-Mangesh-Temple%2CGoa.JPG|https://upload.wikimedia.org/wikipedia/commons/a/a9/IN-Goa-Ponda-shri-manguesh-1.jpg|https://upload.wikimedia.org/wikipedia/commons/4/48/IN-Goa-Ponda-shri-manguesh-2.jpg|https://upload.wikimedia.org/wikipedia/commons/7/7d/Shri-Mangesh-Temple%2CGoa.JPG|https://upload.wikimedia.org/wikipedia/commons/a/a9/IN-Goa-Ponda-shri-manguesh-1.jpg
cmpy1wpbe001u04l5x0fwcao0,Spice Plantation Ponda,Ponda,Goa,2,https://upload.wikimedia.org/wikipedia/commons/a/a9/IN-Goa-Ponda-shri-manguesh-1.jpg|https://upload.wikimedia.org/wikipedia/commons/4/48/IN-Goa-Ponda-shri-manguesh-2.jpg
cmpy1wrdu001z04l5jlgww9eb,Netravali Bubbling Lake,Sanguem,Goa,1,https://upload.wikimedia.org/wikipedia/commons/7/7c/Netravali.jpg
cmpy1wr52001y04l5meswufox,Tambdi Surla Temple,Sanguem,Goa,2,https://upload.wikimedia.org/wikipedia/commons/7/7d/Shri-Mangesh-Temple%2CGoa.JPG|https://upload.wikimedia.org/wikipedia/commons/7/7d/Shri-Mangesh-Temple%2CGoa.JPG
cmpy1wrmj002004l5gxl88r8n,Harvalem Waterfall,Sanquelim,Goa,0,
cmptypk6r000204jsd966ky16,Fort Aguada,Sinquerim,Goa,3,https://upload.wikimedia.org/wikipedia/commons/a/ad/Fort_aguada.jpg|https://upload.wikimedia.org/wikipedia/commons/f/f4/Aguada_Fort_%2C_Goa%2C_India.JPG|https://upload.wikimedia.org/wikipedia/commons/6/6b/Aguada_Fort_-_Sinquerim_Beach_-_Goa_-_0001.jpg
cmpy1xbv0002904l53nm1c8k7,Sinquerim Beach,Sinquerim,Goa,1,https://upload.wikimedia.org/wikipedia/commons/6/6b/Aguada_Fort_-_Sinquerim_Beach_-_Goa_-_0001.jpg
